nombre_de_la_campaaa,nombre_del_conjunto_de_anuncios,nombre_del_anuncio,fecha,tipo_de_resultado,resultados,frecuencia,costo_por_resultado,importe_gastado_mxn,impresiones,cpm_costo_por_mil_impresiones,clics_en_el_enlace,cpc_costo_por_clic_en_el_enlace,ctr_porcentaje_de_clics_en_el_enlace,objetivo,mes,importe_gastado_mxn_con_iva,dia_semana,cuartil,CVR,quadrant,categoria_campana,outlier_flag
CONTENIDO,Boost ArtÃ­culos,23 de mayo,07/04/2023,Sin resultado,0,1.03088803,0,35.27,534,66.04868914,1,35.27,0.18726592,Clientes potenciales,4,40.9132,Friday,Q1,0,Campaña fallida,Conversiones,FALSE
Centros (Cash Burn + Baja OcupaciÃ³n),Centros CDMX,Paseo Boreal,07/04/2023,Sin resultado,0,1.09793814,0,64.67,213,303.6150235,0,0,0,Clientes potenciales,4,75.0172,Friday,Q2,0,Campaña fallida,Conversiones,FALSE
Lead Gen - Reels,Reels - Audiencia Abierta,Julio - Sala de juntas,07/04/2023,Sin resultado,0,1.04812207,0,358.49,2679,133.8148563,3,119.4966667,0.11198208,Clientes potenciales,4,415.8484,Friday,Q4,0,Campaña fallida,Conversiones,FALSE
Lead Gen - Imagen,Lead Ads - Audiencia Abierta,Corporativo - 2023,07/04/2023,Clientes potenciales de Meta,1,1.03367003,158.26,158.26,614,257.752443,2,79.13,0.3257329,Clientes potenciales,4,183.5816,Friday,Q3,0.16286645,Éxito Total,Conversiones,FALSE
Ecommerce - TrÃ¡fico,General,Salas de Juntas #2,07/04/2023,Clics en el enlace,38,1.07563851,0.45,17.22,2190,7.8630137,38,0.45315789,1.73515982,TrÃ¡fico,4,19.9752,Friday,Q1,1.735159817,Éxito Total,Tráfico,FALSE
Lead Gen - Imagen,Lead Ads - Audiencia Abierta,Oficina Equipada - 2023,07/04/2023,Sin resultado,0,1.08156607,0,486.83,1326,367.1417798,6,81.13833333,0.45248869,Clientes potenciales,4,564.7228,Friday,Q4,0,Interés sin conversión,Conversiones,FALSE
Ecommerce - TrÃ¡fico,General,Adaptalo a ti #2,07/04/2023,Clics en el enlace,1,1.33802817,0.44,0.44,95,4.63157895,1,0.44,1.05263158,TrÃ¡fico,4,0.5104,Friday,Q1,1.052631579,Éxito Total,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Cowork #2,07/04/2023,Clics en el enlace,1,1.76271186,0.15,0.15,104,1.44230769,1,0.15,0.96153846,TrÃ¡fico,4,0.174,Friday,Q1,0.961538462,Éxito Total,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Salas de Juntas #1,07/04/2023,Clics en el enlace,4,1.18292683,0.12,0.49,97,5.05154639,4,0.1225,4.12371134,TrÃ¡fico,4,0.5684,Friday,Q1,4.12371134,Éxito Total,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Cowork #1,07/04/2023,Clics en el enlace,45,1.05771365,0.63,28.18,3812,7.39244491,45,0.62622222,1.18048269,TrÃ¡fico,4,32.6888,Friday,Q1,1.180482686,Éxito Total,Tráfico,FALSE
Ecommerce - TrÃ¡fico,General,Salas de Juntas #3,07/04/2023,Sin resultado,0,1.24590164,0,0.33,76,4.34210526,0,0,0,TrÃ¡fico,4,0.3828,Friday,Q1,0,Campaña fallida,Tráfico,FALSE
Centros (Cash Burn + Baja OcupaciÃ³n),Centros CDMX,Plaza Korso,07/04/2023,Sin resultado,0,1.1025,0,96.74,441,219.3650794,0,0,0,Clientes potenciales,4,112.2184,Friday,Q2,0,Campaña fallida,Conversiones,FALSE
Centros (Cash Burn + Baja OcupaciÃ³n),Centros MTY,Avanta Gardens,07/04/2023,Clientes potenciales de Meta,2,1.30537353,111.23,222.46,996,223.3534137,10,22.246,1.00401606,Clientes potenciales,4,258.0536,Friday,Q3,0.200803213,Éxito Total,Conversiones,FALSE
Lead Gen - Imagen,Lead Ads - Lookalike,Oficina Equipada - 2023,07/04/2023,Clientes potenciales de Meta,5,1.20359589,489.06,2445.32,7029,347.8901693,26,94.05076923,0.36989614,Clientes potenciales,4,2836.5712,Friday,Q4,0.071133874,Éxito Total,Conversiones,FALSE
Lead Gen - Imagen,Lead Ads - Audiencia Abierta,Coworking - 2023,07/04/2023,Clientes potenciales de Meta,1,1.09650113,483.19,483.19,1943,248.6824498,11,43.92636364,0.56613484,Clientes potenciales,4,560.5004,Friday,Q4,0.051466804,Éxito Total,Conversiones,FALSE
Awareness - HOT,HOT - Prospectos sin cerrar,Hot #1,07/05/2023,Alcance,44451,1.03345257,3.08,136.84,45938,2.97879751,44,3.11,0.09578127,Reconocimiento,5,158.7344,Sunday,Q3,0.09578127,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - WARM,WARM - Intereses Oficinas,warm #1,07/05/2023,Alcance,78273,1,2.99,233.84,78273,2.98749249,18,12.99111111,0.02299644,Reconocimiento,5,271.2544,Sunday,Q3,0.022996436,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - WARM,WARM - Intereses Oficinas,warm #2,07/05/2023,Alcance,25786,1.01970061,3.09,79.6,26294,3.02730661,11,7.23636364,0.04183464,Reconocimiento,5,92.336,Sunday,Q2,0.041834639,"Poca visibilidad, buen cierre",Awareness,FALSE
CONTENIDO,Boost ArtÃ­culos,12-jun,07/05/2023,Sin resultado,0,1.27051672,0,28.75,418,68.77990431,2,14.375,0.4784689,Clientes potenciales,5,33.35,Sunday,Q1,0,Interés sin conversión,Conversiones,FALSE
Awareness - HOT,HOT - Prospectos sin cerrar,Hot #2,07/05/2023,Alcance,37050,1,2.93,108.52,37050,2.92901484,16,6.7825,0.04318489,Reconocimiento,5,125.8832,Sunday,Q2,0.043184885,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - HOT,HOT - Visitantes,Hot #1,07/05/2023,Alcance,39602,1.01131256,3.14,124.5,40050,3.10861423,25,4.98,0.06242197,Reconocimiento,5,144.42,Sunday,Q2,0.062421973,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - HOT,HOT - Visitantes,Hot #2,07/05/2023,Alcance,37571,1.06643422,3.26,122.64,40067,3.06087304,26,4.71692308,0.06489131,Reconocimiento,5,142.2624,Sunday,Q2,0.064891307,"Poca visibilidad, buen cierre",Awareness,FALSE
CONTENIDO,Boost ArtÃ­culos,05-jun,07/05/2023,Sin resultado,0,1.08333333,0,3.88,65,59.69230769,0,0,0,Clientes potenciales,5,4.5008,Sunday,Q1,0,Campaña fallida,Conversiones,FALSE
Awareness - WARM,WARM - Audiencias Similares,warm #1,07/05/2023,Alcance,58490,1.00499231,3.12,182.6,58782,3.10639311,18,10.14444444,0.03062162,Reconocimiento,5,211.816,Sunday,Q3,0.030621619,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - WARM,WARM - Audiencias Similares,warm #2,07/05/2023,Alcance,42555,1.02389848,3.1,132.03,43572,3.03015698,26,5.07807692,0.05967135,Reconocimiento,5,153.1548,Sunday,Q2,0.059671349,"Poca visibilidad, buen cierre",Awareness,FALSE
Lead Gen - Imagen,Lead Ads - Lookalike,Coworking - 2023,07/05/2023,Clientes potenciales de Meta,6,1.23974476,371.18,2227.08,8160,272.9264706,26,85.65692308,0.31862745,Clientes potenciales,5,2583.4128,Sunday,Q4,0.073529412,Éxito Total,Conversiones,FALSE
Awareness - COLD,COLD - Intereses,Cold #1,07/05/2023,Alcance,45932,1.02638683,3.13,143.65,47144,3.04704734,27,5.32037037,0.05727134,Reconocimiento,5,166.634,Sunday,Q3,0.057271339,"Poca visibilidad, buen cierre",Awareness,FALSE
Awareness - COLD,COLD - Intereses,Cold #2 - 2024,07/05/2023,Alcance,70360,1.00147811,3.05,214.64,70464,3.04609446,33,6.50424242,0.04683243,Reconocimiento,5,248.9824,Sunday,Q3,0.046832425,"Poca visibilidad, buen cierre",Awareness,FALSE
