day,campaign,campaign_type,ad_group,ad_name,ad_type,campaign_bid_strategy_type,ad_group_bid_strategy_type,ctr,avg_cpc,impr,cvr,clicks,cost__conv,conversions,cost,avg_cpm,mes,cost_con_iva,dia_semana,cuartil,quadrant,categoria_campana,outlier_flag
2025-07-13,YT - PODCAST - 2025,Video,Promocion,Episodio #2.3,Responsive video ad,Target CPV,Target CPV,0.0025,4.57,2011.0,0.0,5.0,0.0,0.0,22.87,11.37,7,26.5292,Sunday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-13,YT - PODCAST - 2025,Video,Promocion,Episodio #2.2,Responsive video ad,Target CPV,Target CPV,0.0063,1.96,158.0,0.0,1.0,0.0,0.0,1.96,12.39,7,2.2735999999999996,Sunday,Q1,"Poca visibilidad, buen cierre",Awareness,False
2025-07-14,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.060700000000000004,13.28,247.0,0.0667,15.0,199.21,1.0,199.21,806.52,7,231.0836,Monday,Q3,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.10980000000000001,15.8,856.0,0.0213,94.0,742.51,2.0,1485.02,1734.83,7,1722.6231999999998,Monday,Q4,Éxito Total,Conversiones,False
2025-07-14,Boost - 2025,Search,General & Servicios,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.1009,16.6,327.0,0.0,33.0,0.0,0.0,547.86,1675.41,7,635.5176,Monday,Q4,Éxito Total,Conversiones,False
2025-07-14,Competencia - 2024 - CDMX,Search,IOS Offices,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0149,45.11,134.0,0.0,2.0,0.0,0.0,90.21,673.21,7,104.64359999999999,Monday,Q2,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Competencia - 2024 - CDMX,Search,WeWork,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0191,32.43,733.0,0.07139999999999999,14.0,454.07,1.0,454.07,619.47,7,526.7212,Monday,Q4,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Cowork - 2024 - CDMX,Search,Cowork CDMX,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.10339999999999999,36.39,116.0,0.0,12.0,0.0,0.0,436.72,3764.78,7,506.5952,Monday,Q4,Éxito Total,Conversiones,False
2025-07-14,Cowork - 2024 - CDMX,Search,Cowork CDMX,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0444,14.83,45.0,0.0,2.0,0.0,0.0,29.67,659.27,7,34.4172,Monday,Q1,"Poca visibilidad, buen cierre",Conversiones,False
2025-07-14,Cowork - 2024 - GDL,Search,Cowork GDL,--,Responsive search ad,Maximize Conversions,Maximize Conversions,0.0461,89.98,152.0,0.0,7.0,0.0,0.0,629.85,4143.72,7,730.626,Monday,Q4,"Poca visibilidad, buen cierre",Conversiones,False
